hour,time,alive_percent,q_t,resilience
455,2025-01-19 22:00,77.0062,0.760559,0.839958
456,2025-01-19 23:00,75.6173,0.743078,0.839746
457,2025-01-20 00:00,74.1512,0.737082,0.839521
458,2025-01-20 01:00,73.6883,0.735519,0.839294
459,2025-01-20 02:00,73.4568,0.732347,0.839061
460,2025-01-20 03:00,73.1481,0.730421,0.838825
461,2025-01-20 04:00,72.9938,0.729938,0.838589
462,2025-01-20 05:00,72.9938,0.727996,0.838349
463,2025-01-20 06:00,72.4537,0.724537,0.838103
464,2025-01-20 07:00,100.0,0.662547,0.837725
465,2025-01-20 08:00,100.0,0.906588,0.837873
466,2025-01-20 09:00,100.0,0.970891,0.838159
467,2025-01-20 10:00,100.0,0.999531,0.838504
468,2025-01-20 11:00,100.0,1.0,0.838849
469,2025-01-20 12:00,100.0,1.0,0.839193
470,2025-01-20 13:00,100.0,1.0,0.839535
471,2025-01-20 14:00,100.0,1.0,0.839876
472,2025-01-20 15:00,100.0,1.0,0.840215
473,2025-01-20 16:00,100.0,1.0,0.840553
474,2025-01-20 17:00,100.0,1.0,0.840889
475,2025-01-20 18:00,100.0,0.99656,0.841217
476,2025-01-20 19:00,98.3025,0.97579,0.8415
477,2025-01-20 20:00,96.7593,0.964918,0.841758
478,2025-01-20 21:00,96.3735,0.912694,0.841907
479,2025-01-20 22:00,88.6574,0.874485,0.841975
480,2025-01-20 23:00,87.1142,0.868846,0.842031
481,2025-01-21 00:00,86.4969,0.85831,0.842065
482,2025-01-21 01:00,85.4167,0.848939,0.842079
483,2025-01-21 02:00,84.1821,0.835549,0.842065
484,2025-01-21 03:00,82.9475,0.822133,0.842024
485,2025-01-21 04:00,81.4815,0.809335,0.841957
486,2025-01-21 05:00,80.7099,0.758526,0.841785
487,2025-01-21 06:00,67.4383,0.663559,0.841419
488,2025-01-21 07:00,100.0,0.688155,0.841105
489,2025-01-21 08:00,100.0,0.882033,0.841189
490,2025-01-21 09:00,100.0,0.953436,0.841418
491,2025-01-21 10:00,100.0,0.997544,0.841736
492,2025-01-21 11:00,100.0,0.999997,0.842057
493,2025-01-21 12:00,100.0,1.0,0.842378
494,2025-01-21 13:00,100.0,1.0,0.842697
495,2025-01-21 14:00,100.0,1.0,0.843015
496,2025-01-21 15:00,100.0,1.0,0.843331
497,2025-01-21 16:00,100.0,1.0,0.843646
498,2025-01-21 17:00,100.0,0.980295,0.843921
499,2025-01-21 18:00,92.9784,0.925975,0.844085
500,2025-01-21 19:00,92.1296,0.902249,0.844202
501,2025-01-21 20:00,89.5833,0.890801,0.844295
502,2025-01-21 21:00,88.0401,0.874992,0.844356
503,2025-01-21 22:00,87.1914,0.865267,0.844397
504,2025-01-21 23:00,86.034,0.856386,0.844421
505,2025-01-22 00:00,85.4167,0.850285,0.844433
506,2025-01-22 01:00,83.7963,0.823566,0.844391
