hour,time,alive_percent,resilience
570,2025-01-24 17:00,93.6728,0.810007
571,2025-01-24 18:00,91.5895,0.810192
572,2025-01-24 19:00,88.8117,0.810328
573,2025-01-24 20:00,86.3426,0.810421
574,2025-01-24 21:00,81.9444,0.810437
575,2025-01-24 22:00,76.7747,0.810362
576,2025-01-24 23:00,73.9198,0.810239
577,2025-01-25 00:00,71.9907,0.810082
578,2025-01-25 01:00,70.3704,0.809898
579,2025-01-25 02:00,69.1358,0.809693
580,2025-01-25 03:00,67.7469,0.809465
581,2025-01-25 04:00,67.1296,0.809228
582,2025-01-25 05:00,66.2809,0.808976
583,2025-01-25 06:00,64.0432,0.808687
584,2025-01-25 07:00,62.3457,0.80837
585,2025-01-25 08:00,72.5309,0.808228
586,2025-01-25 09:00,88.8889,0.808365
587,2025-01-25 10:00,94.3673,0.808596
588,2025-01-25 11:00,98.4568,0.808895
589,2025-01-25 12:00,98.3796,0.809192
590,2025-01-25 13:00,98.8426,0.809496
591,2025-01-25 14:00,98.3025,0.80979
592,2025-01-25 15:00,97.608,0.81007
593,2025-01-25 16:00,95.3704,0.810313
594,2025-01-25 17:00,92.3611,0.810503
595,2025-01-25 18:00,91.2037,0.810674
596,2025-01-25 19:00,88.7346,0.810803
597,2025-01-25 20:00,86.1883,0.810888
598,2025-01-25 21:00,83.8735,0.810935
599,2025-01-25 22:00,80.787,0.81093
600,2025-01-25 23:00,76.7747,0.810858
601,2025-01-26 00:00,70.5247,0.810682
602,2025-01-26 01:00,65.8951,0.81043
603,2025-01-26 02:00,61.9599,0.810114
604,2025-01-26 03:00,58.642,0.809743
605,2025-01-26 04:00,57.0988,0.809349
606,2025-01-26 05:00,55.7099,0.808932
607,2025-01-26 06:00,54.9383,0.808505
608,2025-01-26 07:00,55.9414,0.808095
